date,establishment,amount,category
2025-10-11,Onibus Urbano,139.85,Transportation
2025-08-22,Padaria Central,55.95,Others
2025-08-08,Restaurante do Zé,171.4,Others
2025-08-26,Padaria Central,16.43,Others
2025-08-20,Jaú Serve,140.13,Supermarket
2025-08-27,Savegnago,111.34,Supermarket
2025-08-18,Onibus Urbano,208.61,Transportation
2025-09-29,99Pop,139.4,Transportation
2025-09-04,Drogaria São Paulo,279.01,Drugstore
2025-10-16,Uber,205.33,Transportation
2025-08-28,Farmacia Droga Raia,184.17,Drugstore
2025-09-25,Uber,171.86,Transportation
2025-09-18,Drogaria São Paulo,218.36,Drugstore
2025-09-12,Posto Shell,228.29,Others
2025-08-06,Cinema Lumière,258.35,Entertainment
2025-09-28,Posto Shell,268.06,Others
2025-10-04,Padaria Central,84.45,Others
2025-09-19,Savegnago,225.38,Supermarket
2025-09-04,Farmacia Droga Raia,290.45,Drugstore
2025-08-22,Savegnago,177.45,Supermarket
2025-10-18,Posto Shell,48.63,Others
2025-09-07,99Pop,199.9,Transportation
2025-10-13,Onibus Urbano,67.28,Transportation
2025-08-01,Drogaria São Paulo,225.94,Drugstore
2025-10-09,Restaurante do Zé,103.55,Others
2025-08-04,Drogaria São Paulo,74.98,Drugstore
2025-10-07,Uber,109.26,Transportation
2025-07-30,Farmacia Droga Raia,108.51,Drugstore
2025-10-01,Uber,69.53,Transportation
2025-10-02,Jaú Serve,21.52,Supermarket
2025-10-21,Restaurante do Zé,64.91,Others
2025-09-30,99Pop,190.55,Transportation
2025-08-07,Savegnago,247.87,Supermarket
2025-10-10,Cinema Lumière,263.57,Entertainment
2025-10-05,Savegnago,220.76,Supermarket
2025-10-15,Restaurante do Zé,176.78,Others
2025-10-08,Restaurante do Zé,152.88,Others
2025-07-31,Restaurante do Zé,62.11,Others
2025-09-07,Padaria Central,92.44,Others
2025-08-13,Jaú Serve,150.17,Supermarket
2025-08-15,99Pop,25.46,Transportation
2025-09-17,Posto Shell,227.72,Others
2025-09-05,Farmacia Droga Raia,279.15,Drugstore
2025-10-05,Savegnago,188.16,Supermarket
2025-10-22,Farmacia Droga Raia,265.24,Drugstore
2025-09-29,Onibus Urbano,75.46,Transportation
2025-10-11,Onibus Urbano,229.46,Transportation
2025-08-17,Cinema Lumière,187.71,Entertainment
2025-09-25,Drogaria São Paulo,9.74,Drugstore
2025-08-01,Farmacia Droga Raia,90.37,Drugstore
2025-08-05,Savegnago,23.66,Supermarket
2025-09-30,Jaú Serve,265.76,Supermarket
2025-10-08,Uber,145.76,Transportation
2025-08-14,Restaurante do Zé,269.41,Others
2025-09-21,Farmacia Droga Raia,89.35,Drugstore
2025-10-12,Cinema Lumière,180.77,Entertainment
2025-08-15,Cinema Lumière,13.07,Entertainment
2025-08-30,Savegnago,264.69,Supermarket
2025-10-12,Drogaria São Paulo,143.26,Drugstore
2025-10-01,Uber,125.02,Transportation
2025-10-04,Cinema Lumière,248.25,Entertainment
